,Unnamed: 0,arg0,arg1,v
1,1, a brain disorder, a person 's ability to carry out daily activities, affects
3,3, It," the parts of the brain that control thought , memory and language", involves
5,5," A related problem , mild cognitive impairment ( MCI )", more memory problems than normal for people of the same age, causes
12,12, they, total care, need
16,16, a family member, the disease, had
21,21, by loss of function and death of nerve cells," A progressive , neurodegenerative disease", characterized
23,23, skills, problem, solving
26,26, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
32,32, a serious disorder, with your daily life, interferes
34,34, the cells of the brain, working, stop
38,38, Lewy body dementia, movement symptoms along with dementia, causes
39,39, Frontotemporal disorders, changes to certain parts of the brain, cause
40,40, by a stroke or atherosclerosis ( hardening of the arteries ) in the brain, It, caused
43,43, Dementia," problems with the ability to think , problem solve , and reason", causes
50,50, Treatments," help to maintain mental function longer , manage behavioral symptoms , and slow down the symptoms of disease", may
56,56, Occupational, find ways to more easily do everyday activities Speech therapy to help with swallowing difficulties and trouble speaking loudly, help
60,60, a person," the ability to think , remember , learn , make decisions , and solve problems", loses
64,64, Loss of intellectual abilities, with an individual 's social and occupational functions, interfering
66,66, An, with social or occupational functioning, interfere
68,68, The intellectual decline, the level of consciousness, spares
72,72, a serious disorder, with your daily life, interferes
74,74, the cells of the brain, working, stop
78,78, Lewy body dementia, movement symptoms along with dementia, causes
79,79, Frontotemporal disorders, changes to certain parts of the brain, cause
80,80, by a stroke or atherosclerosis ( hardening of the arteries ) in the brain, It, caused
83,83, Dementia," problems with the ability to think , problem solve , and reason", causes
90,90, Treatments," help to maintain mental function longer , manage behavioral symptoms , and slow down the symptoms of disease", may
96,96, Occupational, find ways to more easily do everyday activities Speech therapy to help with swallowing difficulties and trouble speaking loudly, help
100,100, a person," the ability to think , remember , learn , make decisions , and solve problems", loses
104,104, Loss of intellectual abilities, with an individual 's social and occupational functions, interfering
106,106, An, with social or occupational functioning, interfere
108,108, The intellectual decline, the level of consciousness, spares
112,112, a serious disorder, with your daily life, interferes
114,114, the cells of the brain, working, stop
118,118, Lewy body dementia, movement symptoms along with dementia, causes
119,119, Frontotemporal disorders, changes to certain parts of the brain, cause
120,120, by a stroke or atherosclerosis ( hardening of the arteries ) in the brain, It, caused
123,123, Dementia," problems with the ability to think , problem solve , and reason", causes
130,130, Treatments," help to maintain mental function longer , manage behavioral symptoms , and slow down the symptoms of disease", may
136,136, Occupational, find ways to more easily do everyday activities Speech therapy to help with swallowing difficulties and trouble speaking loudly, help
140,140, a person," the ability to think , remember , learn , make decisions , and solve problems", loses
144,144, Loss of intellectual abilities, with an individual 's social and occupational functions, interfering
146,146, An, with social or occupational functioning, interfere
148,148, The intellectual decline, the level of consciousness, spares
149,149, by a deterioration in memory function, A disorder, characterized
161,161, Your blood pressure reading, these two numbers, uses
163,163, 120/80, a systolic of 120 and a diastolic of 80, means
166,166, Your provider," use a gauge , a stethoscope or electronic sensor , and a blood pressure cuff", will
168,168, your readings, that Your systolic is 140 or higher OR Your diastolic is 90 or higher, show
169,169, the health care provider, the blood pressure reading, compares
170,170, most people, this kind of blood pressure, get
171,171, by another medical condition or use of certain medicines, Secondary high blood pressure, caused
173,173, I," possibly leading to serious health problems such as heart attack , stroke , heart failure", need
178,178, the changes, your high blood pressure, control
180,180, Some people, to take more than one type, need
181,181, by another medical condition or medicine, your high blood pressure, caused
183,183, by a pathological increase in blood pressure, A disorder, characterized
187,187, conditions, your vascular system, affect
192,192, a disorder, the blood vessels to narrow when you are cold or feeling stressed, causes
201,201, providers, a catheter, use
205,205, you, to sit all day, need
206,206, you, on a long trip, traveling
207,207, A non - neoplastic or neoplastic disorder," the arteries , veins , or lymphatic vessels", affecting
211,211, A degenerative vascular disorder, the brain, affecting
212,212, by the blockage of the blood supply to the brain, It, caused
214,214, An imprecise term," to dementia associated with CEREBROVASCULAR DISORDERS , including CEREBRAL INFARCTION ( single or multiple ) , and conditions associated with chronic BRAIN ISCHEMIA", referring
221,221, you, that you or someone else is having a stroke, think
223,223, by a blood clot that blocks or plugs a blood vessel in the brain, Ischemic stroke, caused
224,224, by a blood vessel that breaks and bleeds into the brain Another condition that 's similar to a stroke is a transient ischemic attack ( TIA ), Hemorrhagic stroke, caused
227,227, you, a TIA, had
244,244, you, artery disease, carotid
257,257, by a sudden loss of sensory function, National Institute of Neurological Disorders and StrokeA disorder, characterized
258,258," by presumed brain , spinal cord", An acute episode of focal or global neurological dysfunction, caused
260,260, by blood clots and broken blood vessels in the brain, Strokes, caused
262,262," by high blood pressure , older age , smoking , diabetes , high cholesterol , heart disease", The risk of stroke, increased
263,263, non - convulsive loss of neurological function, A group of pathological conditions, characterized
266,266, by multiple cortical or subcortical cerebral infarctions, A common form of dementia, caused
270,270, a brain disorder, a person 's ability to carry out daily activities, affects
272,272, It," the parts of the brain that control thought , memory and language", involves
274,274," A related problem , mild cognitive impairment ( MCI )", more memory problems than normal for people of the same age, causes
281,281, they, total care, need
285,285, a family member, the disease, had
290,290, by loss of function and death of nerve cells," A progressive , neurodegenerative disease", characterized
292,292, skills, problem, solving
297,297, a serious disorder, with your daily life, interferes
299,299, the cells of the brain, working, stop
303,303, Lewy body dementia, movement symptoms along with dementia, causes
304,304, Frontotemporal disorders, changes to certain parts of the brain, cause
305,305, by a stroke or atherosclerosis ( hardening of the arteries ) in the brain, It, caused
308,308, Dementia," problems with the ability to think , problem solve , and reason", causes
315,315, Treatments," help to maintain mental function longer , manage behavioral symptoms , and slow down the symptoms of disease", may
321,321, Occupational, find ways to more easily do everyday activities Speech therapy to help with swallowing difficulties and trouble speaking loudly, help
325,325, a person," the ability to think , remember , learn , make decisions , and solve problems", loses
329,329, Loss of intellectual abilities, with an individual 's social and occupational functions, interfering
331,331, An, with social or occupational functioning, interfere
333,333, The intellectual decline, the level of consciousness, spares
336,336, a brain disorder, a person 's ability to carry out daily activities, affects
338,338, It," the parts of the brain that control thought , memory and language", involves
340,340," A related problem , mild cognitive impairment ( MCI )", more memory problems than normal for people of the same age, causes
347,347, they, total care, need
351,351, a family member, the disease, had
356,356, by loss of function and death of nerve cells," A progressive , neurodegenerative disease", characterized
358,358, skills, problem, solving
363,363, a serious disorder, with your daily life, interferes
365,365, the cells of the brain, working, stop
369,369, Lewy body dementia, movement symptoms along with dementia, causes
370,370, Frontotemporal disorders, changes to certain parts of the brain, cause
371,371, by a stroke or atherosclerosis ( hardening of the arteries ) in the brain, It, caused
374,374, Dementia," problems with the ability to think , problem solve , and reason", causes
381,381, Treatments," help to maintain mental function longer , manage behavioral symptoms , and slow down the symptoms of disease", may
387,387, Occupational, find ways to more easily do everyday activities Speech therapy to help with swallowing difficulties and trouble speaking loudly, help
391,391, a person," the ability to think , remember , learn , make decisions , and solve problems", loses
395,395, Loss of intellectual abilities, with an individual 's social and occupational functions, interfering
397,397, An, with social or occupational functioning, interfere
399,399, The intellectual decline, the level of consciousness, spares
405,405, by a conspicuous change in cognitive function, A disorder, characterized
411,411, a serious disorder, with your daily life, interferes
413,413, the cells of the brain, working, stop
417,417, Lewy body dementia, movement symptoms along with dementia, causes
418,418, Frontotemporal disorders, changes to certain parts of the brain, cause
419,419, by a stroke or atherosclerosis ( hardening of the arteries ) in the brain, It, caused
422,422, Dementia," problems with the ability to think , problem solve , and reason", causes
429,429, Treatments," help to maintain mental function longer , manage behavioral symptoms , and slow down the symptoms of disease", may
435,435, Occupational, find ways to more easily do everyday activities Speech therapy to help with swallowing difficulties and trouble speaking loudly, help
439,439, a person," the ability to think , remember , learn , make decisions , and solve problems", loses
443,443, Loss of intellectual abilities, with an individual 's social and occupational functions, interfering
445,445, An, with social or occupational functioning, interfere
447,447, The intellectual decline, the level of consciousness, spares
448,448, by a lack of interest or concern, An emotional state of indifference, characterized
460,460, a serious disorder, with your daily life, interferes
462,462, the cells of the brain, working, stop
466,466, Lewy body dementia, movement symptoms along with dementia, causes
467,467, Frontotemporal disorders, changes to certain parts of the brain, cause
468,468, by a stroke or atherosclerosis ( hardening of the arteries ) in the brain, It, caused
471,471, Dementia," problems with the ability to think , problem solve , and reason", causes
478,478, Treatments," help to maintain mental function longer , manage behavioral symptoms , and slow down the symptoms of disease", may
484,484, Occupational, find ways to more easily do everyday activities Speech therapy to help with swallowing difficulties and trouble speaking loudly, help
488,488, a person," the ability to think , remember , learn , make decisions , and solve problems", loses
492,492, Loss of intellectual abilities, with an individual 's social and occupational functions, interfering
494,494, An, with social or occupational functioning, interfere
496,496, The intellectual decline, the level of consciousness, spares
